DEPARTURE DATE,total_fare
2018-01-07,14027
2018-01-14,37238
2018-01-21,23581
2018-01-28,24798
2018-02-04,18612
2018-02-11,16114
2018-02-18,37420
2018-02-25,81602
2018-03-04,49337
2018-03-11,35734
2018-03-18,45035
2018-03-25,72692
2018-04-01,58401
2018-04-08,50932
2018-04-15,51294
2018-04-22,44544
2018-04-29,61092
2018-05-06,68895
2018-05-13,94375
2018-05-20,63212
2018-05-27,80927
2018-06-03,136233
2018-06-10,129088
2018-06-17,185039
2018-06-24,220268
2018-07-01,294418
2018-07-08,284660
2018-07-15,277109
2018-07-22,267452
2018-07-29,327496
2018-08-05,360412
2018-08-12,302067
2018-08-19,343094
2018-08-26,299548
2018-09-02,265501
2018-09-09,216432
2018-09-16,118696
2018-09-23,103715
2018-09-30,88770
2018-10-07,104578
2018-10-14,84328
2018-10-21,81461
2018-10-28,61783
2018-11-04,61181
2018-11-11,41156
2018-11-18,64330
2018-11-25,58128
2018-12-02,47443
2018-12-09,66278
2018-12-16,247609
2018-12-23,345009
2018-12-30,261861
2019-01-06,299806
2019-01-13,183984
2019-01-20,117666
2019-01-27,57055
2019-02-03,35309
2019-02-10,30003
2019-02-17,27248
2019-02-24,27932
2019-03-03,31720
2019-03-10,46731
2019-03-17,33630
2019-03-24,46047
2019-03-31,29922
2019-04-07,58323
2019-04-14,58948
2019-04-21,62230
2019-04-28,54002
2019-05-05,41498
2019-05-12,29118
2019-05-19,52442
2019-05-26,90811
2019-06-02,85692
2019-06-09,80097
2019-06-16,132620
2019-06-23,120621
2019-06-30,196092
2019-07-07,200204
2019-07-14,172224
2019-07-21,180651
2019-07-28,186984
2019-08-04,220000
2019-08-11,209160
2019-08-18,193192
2019-08-25,184019
2019-09-01,186063
2019-09-08,149911
2019-09-15,96793
2019-09-22,49767
2019-09-29,39082
2019-10-06,29564
2019-10-13,35550
2019-10-20,35052
2019-10-27,45807
2019-11-03,40784
2019-11-10,37136
2019-11-17,38309
2019-11-24,46688
2019-12-01,54119
2019-12-08,47784
2019-12-15,141729
2019-12-22,238390
2019-12-29,189958
2020-01-05,196658
2020-01-12,179474
2020-01-19,77869
2020-01-26,35493
2020-02-02,33267
2020-02-09,24609
2020-02-16,29864
2020-02-23,36234
2020-03-01,41259
2020-03-08,39652
2020-03-15,83760
2020-03-22,34761
2020-03-29,19387
2020-04-05,28571
2020-04-12,25526
2020-04-19,22798
2020-04-26,12092
2020-05-03,10405
2020-05-10,7517
2020-05-17,10058
2020-05-24,12753
2020-05-31,19118
2020-06-07,30310
2020-06-14,21549
2020-06-21,68787
2020-06-28,37048
2020-07-05,45625
2020-07-12,36683
2020-07-19,42250
2020-07-26,32702
2020-08-02,25620
2020-08-09,28045
2020-08-16,33041
2020-08-23,31183
2020-08-30,21067
2020-09-06,19860
2020-09-13,27051
2020-09-20,11941
2020-09-27,8407
2020-10-04,15865
2020-10-11,11521
2020-10-18,15462
2020-10-25,13678
2020-11-01,12270
2020-11-08,10271
2020-11-15,12357
2020-11-22,16348
2020-11-29,11074
2020-12-06,21988
2020-12-13,38083
2020-12-20,81819
2020-12-27,51844
2021-01-03,36218
2021-01-10,56904
2021-01-17,51143
2021-01-24,23890
2021-01-31,21992
2021-02-07,16633
2021-02-14,19203
2021-02-21,24849
2021-02-28,21246
2021-03-07,19358
2021-03-14,17808
2021-03-21,22952
2021-03-28,21176
2021-04-04,25396
2021-04-11,34549
2021-04-18,16334
2021-04-25,12900
2021-05-02,15474
2021-05-09,17143
2021-05-16,31982
2021-05-23,39050
2021-05-30,40294
2021-06-06,47208
2021-06-13,38193
2021-06-20,55141
2021-06-27,80635
2021-07-04,90289
2021-07-11,82161
2021-07-18,120778
2021-07-25,60140
2021-08-01,137706
2021-08-08,95971
2021-08-15,98304
2021-08-22,88355
2021-08-29,69669
2021-09-05,57923
2021-09-12,19885
2021-09-19,24431
2021-09-26,21672
2021-10-03,25929
2021-10-10,18328
2021-10-17,17196
2021-10-24,9384
2021-10-31,11502
2021-11-07,19117
2021-11-14,13739
2021-11-21,27441
2021-11-28,24930
2021-12-05,31443
2021-12-12,32998
2021-12-19,141070
2021-12-26,112776
2022-01-02,72786
2022-01-09,108280
2022-01-16,53216
2022-01-23,24743
2022-01-30,6854
2022-02-06,18670
2022-02-13,19758
2022-02-20,18332
2022-02-27,14599
2022-03-06,27698
2022-03-13,29349
2022-03-20,24894
2022-03-27,21211
2022-04-03,22429
2022-04-10,21148
2022-04-17,9856
2022-04-24,14838
2022-05-01,17863
2022-05-08,20532
2022-05-15,25405
2022-05-22,24687
2022-05-29,36167
2022-06-05,39542
2022-06-12,34172
2022-06-19,43976
2022-06-26,49494
2022-07-03,49675
2022-07-10,33996
2022-07-17,28207
2022-07-24,28297
2022-07-31,44333
2022-08-07,28372
2022-08-14,29340
2022-08-21,27672
2022-08-28,14672
2022-09-04,21032
2022-09-11,6450
2022-09-18,3714
2022-09-25,2547
2022-10-02,633
2022-10-09,766
2022-10-16,240
2022-10-23,3975
2022-10-30,1398
